Class; Value; Class start; Class end;
1;10;-170.825057949196;-169.487869824539;
2;0;-169.487869824539;-168.150681699882;
3;0;-168.150681699882;-166.813493575226;
4;0;-166.813493575226;-165.476305450569;
5;0;-165.476305450569;-164.139117325912;
6;0;-164.139117325912;-162.801929201256;
7;10;-162.801929201256;-161.464741076599;
8;0;-161.464741076599;-160.127552951942;
9;0;-160.127552951942;-158.790364827286;
10;1;-158.790364827286;-157.453176702629;
11;6;-157.453176702629;-156.115988577972;
12;14;-156.115988577972;-154.778800453316;
13;4;-154.778800453316;-153.441612328659;
14;1;-153.441612328659;-152.104424204002;
15;1;-152.104424204002;-150.767236079346;
16;1;-150.767236079346;-149.430047954689;
17;1;-149.430047954689;-148.092859830032;
18;0;-148.092859830032;-146.755671705375;
19;0;-146.755671705375;-145.418483580719;
20;0;-145.418483580719;-144.081295456062;
21;6;-144.081295456062;-142.744107331405;
22;4;-142.744107331405;-141.406919206749;
23;4;-141.406919206749;-140.069731082092;
24;7;-140.069731082092;-138.732542957435;
25;9;-138.732542957435;-137.395354832779;
26;12;-137.395354832779;-136.058166708122;
27;13;-136.058166708122;-134.720978583465;
28;9;-134.720978583465;-133.383790458809;
29;10;-133.383790458809;-132.046602334152;
30;0;-132.046602334152;-130.709414209495;
31;10;-130.709414209495;-129.372226084839;
32;0;-129.372226084839;-128.035037960182;
33;0;-128.035037960182;-126.697849835525;
34;0;-126.697849835525;-125.360661710869;
35;0;-125.360661710869;-124.023473586212;
36;0;-124.023473586212;-122.686285461555;
37;0;-122.686285461555;-121.349097336899;
38;1;-121.349097336899;-120.011909212242;
39;3;-120.011909212242;-118.674721087585;
40;3;-118.674721087585;-117.337532962929;
41;3;-117.337532962929;-116.000344838272;
42;3;-116.000344838272;-114.663156713615;
43;3;-114.663156713615;-113.325968588959;
44;16;-113.325968588959;-111.988780464302;
45;6;-111.988780464302;-110.651592339645;
46;0;-110.651592339645;-109.314404214989;
47;6;-109.314404214989;-107.977216090332;
48;3;-107.977216090332;-106.640027965675;
49;9;-106.640027965675;-105.302839841018;
50;11;-105.302839841018;-103.965651716362;
