Class; Value; Class start; Class end;
1;6;-40.596435367048;-40.282532050193;
2;0;-40.282532050193;-39.968628733337;
3;3;-39.968628733337;-39.654725416482;
4;1;-39.654725416482;-39.340822099626;
5;2;-39.340822099626;-39.026918782771;
6;7;-39.026918782771;-38.713015465916;
7;5;-38.713015465916;-38.399112149060;
8;8;-38.399112149060;-38.085208832205;
9;11;-38.085208832205;-37.771305515349;
10;8;-37.771305515349;-37.457402198494;
11;2;-37.457402198494;-37.143498881638;
12;12;-37.143498881638;-36.829595564783;
13;15;-36.829595564783;-36.515692247928;
14;12;-36.515692247928;-36.201788931072;
15;10;-36.201788931072;-35.887885614217;
16;18;-35.887885614217;-35.573982297361;
17;4;-35.573982297361;-35.260078980506;
18;5;-35.260078980506;-34.946175663650;
19;19;-34.946175663650;-34.632272346795;
20;2;-34.632272346795;-34.318369029940;
21;18;-34.318369029940;-34.004465713084;
22;6;-34.004465713084;-33.690562396229;
23;23;-33.690562396229;-33.376659079373;
24;23;-33.376659079373;-33.062755762518;
25;33;-33.062755762518;-32.748852445662;
26;62;-32.748852445662;-32.434949128807;
27;95;-32.434949128807;-32.121045811951;
28;80;-32.121045811951;-31.807142495096;
29;90;-31.807142495096;-31.493239178241;
30;76;-31.493239178241;-31.179335861385;
31;80;-31.179335861385;-30.865432544530;
32;107;-30.865432544530;-30.551529227674;
33;111;-30.551529227674;-30.237625910819;
34;111;-30.237625910819;-29.923722593963;
35;100;-29.923722593963;-29.609819277108;
36;87;-29.609819277108;-29.295915960253;
37;80;-29.295915960253;-28.982012643397;
38;122;-28.982012643397;-28.668109326542;
39;115;-28.668109326542;-28.354206009686;
40;75;-28.354206009686;-28.040302692831;
41;98;-28.040302692831;-27.726399375975;
42;68;-27.726399375975;-27.412496059120;
43;97;-27.412496059120;-27.098592742265;
44;125;-27.098592742265;-26.784689425409;
45;84;-26.784689425409;-26.470786108554;
46;113;-26.470786108554;-26.156882791698;
47;102;-26.156882791698;-25.842979474843;
48;89;-25.842979474843;-25.529076157987;
49;136;-25.529076157987;-25.215172841132;
50;116;-25.215172841132;-24.901269524277;
51;108;-24.901269524277;-24.587366207421;
52;150;-24.587366207421;-24.273462890566;
53;123;-24.273462890566;-23.959559573710;
54;95;-23.959559573710;-23.645656256855;
55;162;-23.645656256855;-23.331752939999;
56;132;-23.331752939999;-23.017849623144;
57;178;-23.017849623144;-22.703946306289;
58;189;-22.703946306289;-22.390042989433;
59;157;-22.390042989433;-22.076139672578;
60;167;-22.076139672578;-21.762236355722;
61;206;-21.762236355722;-21.448333038867;
62;205;-21.448333038867;-21.134429722011;
63;196;-21.134429722011;-20.820526405156;
64;183;-20.820526405156;-20.506623088301;
65;160;-20.506623088301;-20.192719771445;
66;174;-20.192719771445;-19.878816454590;
67;207;-19.878816454590;-19.564913137734;
68;230;-19.564913137734;-19.251009820879;
69;243;-19.251009820879;-18.937106504023;
70;210;-18.937106504023;-18.623203187168;
71;190;-18.623203187168;-18.309299870313;
72;231;-18.309299870313;-17.995396553457;
73;280;-17.995396553457;-17.681493236602;
74;267;-17.681493236602;-17.367589919746;
75;315;-17.367589919746;-17.053686602891;
76;299;-17.053686602891;-16.739783286035;
77;309;-16.739783286035;-16.425879969180;
78;284;-16.425879969180;-16.111976652325;
79;309;-16.111976652325;-15.798073335469;
80;356;-15.798073335469;-15.484170018614;
81;385;-15.484170018614;-15.170266701758;
82;332;-15.170266701758;-14.856363384903;
83;328;-14.856363384903;-14.542460068047;
84;409;-14.542460068047;-14.228556751192;
85;454;-14.228556751192;-13.914653434337;
86;438;-13.914653434337;-13.600750117481;
87;430;-13.600750117481;-13.286846800626;
88;439;-13.286846800626;-12.972943483770;
89;492;-12.972943483770;-12.659040166915;
90;532;-12.659040166915;-12.345136850059;
91;545;-12.345136850059;-12.031233533204;
92;531;-12.031233533204;-11.717330216349;
93;542;-11.717330216349;-11.403426899493;
94;605;-11.403426899493;-11.089523582638;
95;724;-11.089523582638;-10.775620265782;
96;700;-10.775620265782;-10.461716948927;
97;715;-10.461716948927;-10.147813632071;
98;741;-10.147813632071;-9.833910315216;
99;819;-9.833910315216;-9.520006998360;
100;848;-9.520006998360;-9.206103681505;
101;791;-9.206103681505;-8.892200364650;
102;827;-8.892200364650;-8.578297047794;
103;940;-8.578297047794;-8.264393730939;
104;949;-8.264393730939;-7.950490414083;
105;867;-7.950490414083;-7.636587097228;
106;901;-7.636587097228;-7.322683780372;
107;1080;-7.322683780372;-7.008780463517;
108;1088;-7.008780463517;-6.694877146662;
109;1007;-6.694877146662;-6.380973829806;
110;940;-6.380973829806;-6.067070512951;
111;1086;-6.067070512951;-5.753167196095;
112;1043;-5.753167196095;-5.439263879240;
113;1052;-5.439263879240;-5.125360562384;
114;1113;-5.125360562384;-4.811457245529;
115;1149;-4.811457245529;-4.497553928674;
116;1197;-4.497553928674;-4.183650611818;
117;1268;-4.183650611818;-3.869747294963;
118;1481;-3.869747294963;-3.555843978107;
119;1536;-3.555843978107;-3.241940661252;
120;5683;-3.241940661252;-2.928037344396;
121;38039;-2.928037344396;-2.614134027541;
122;45990;-2.614134027541;-2.300230710686;
123;45876;-2.300230710686;-1.986327393830;
124;46349;-1.986327393830;-1.672424076975;
125;45537;-1.672424076975;-1.358520760119;
126;45072;-1.358520760119;-1.044617443264;
127;45479;-1.044617443264;-0.730714126408;
128;44496;-0.730714126408;-0.416810809553;
129;44670;-0.416810809553;-0.102907492698;
130;44030;-0.102907492698;0.210995824158;
131;43632;0.210995824158;0.524899141013;
132;42563;0.524899141013;0.838802457869;
133;41705;0.838802457869;1.152705774724;
134;41216;1.152705774724;1.466609091580;
135;40073;1.466609091580;1.780512408435;
136;39499;1.780512408435;2.094415725290;
137;38563;2.094415725290;2.408319042146;
138;38048;2.408319042146;2.722222359001;
139;36775;2.722222359001;3.036125675857;
140;36689;3.036125675857;3.350028992712;
