Class; Value; Class start; Class end;
1;8;-82.245643350129;-81.603080588226;
2;1;-81.603080588226;-80.960517826324;
3;0;-80.960517826324;-80.317955064421;
4;0;-80.317955064421;-79.675392302518;
5;0;-79.675392302518;-79.032829540615;
6;0;-79.032829540615;-78.390266778712;
7;0;-78.390266778712;-77.747704016809;
8;0;-77.747704016809;-77.105141254907;
9;0;-77.105141254907;-76.462578493004;
10;0;-76.462578493004;-75.820015731101;
11;0;-75.820015731101;-75.177452969198;
12;0;-75.177452969198;-74.534890207295;
13;0;-74.534890207295;-73.892327445393;
14;0;-73.892327445393;-73.249764683490;
15;0;-73.249764683490;-72.607201921587;
16;1;-72.607201921587;-71.964639159684;
17;1;-71.964639159684;-71.322076397781;
18;3;-71.322076397781;-70.679513635879;
19;0;-70.679513635879;-70.036950873976;
20;4;-70.036950873976;-69.394388112073;
21;2;-69.394388112073;-68.751825350170;
22;0;-68.751825350170;-68.109262588267;
23;0;-68.109262588267;-67.466699826365;
24;0;-67.466699826365;-66.824137064462;
25;0;-66.824137064462;-66.181574302559;
26;0;-66.181574302559;-65.539011540656;
27;0;-65.539011540656;-64.896448778753;
28;1;-64.896448778753;-64.253886016850;
29;1;-64.253886016850;-63.611323254948;
30;8;-63.611323254948;-62.968760493045;
31;0;-62.968760493045;-62.326197731142;
32;8;-62.326197731142;-61.683634969239;
33;1;-61.683634969239;-61.041072207336;
34;6;-61.041072207336;-60.398509445434;
35;0;-60.398509445434;-59.755946683531;
36;4;-59.755946683531;-59.113383921628;
37;0;-59.113383921628;-58.470821159725;
38;0;-58.470821159725;-57.828258397822;
39;0;-57.828258397822;-57.185695635920;
40;0;-57.185695635920;-56.543132874017;
41;0;-56.543132874017;-55.900570112114;
42;0;-55.900570112114;-55.258007350211;
43;0;-55.258007350211;-54.615444588308;
44;0;-54.615444588308;-53.972881826406;
45;0;-53.972881826406;-53.330319064503;
46;0;-53.330319064503;-52.687756302600;
47;0;-52.687756302600;-52.045193540697;
48;0;-52.045193540697;-51.402630778794;
49;0;-51.402630778794;-50.760068016891;
50;0;-50.760068016891;-50.117505254989;
51;0;-50.117505254989;-49.474942493086;
52;0;-49.474942493086;-48.832379731183;
53;0;-48.832379731183;-48.189816969280;
54;0;-48.189816969280;-47.547254207377;
55;0;-47.547254207377;-46.904691445475;
56;0;-46.904691445475;-46.262128683572;
57;0;-46.262128683572;-45.619565921669;
58;0;-45.619565921669;-44.977003159766;
59;0;-44.977003159766;-44.334440397863;
60;0;-44.334440397863;-43.691877635961;
61;0;-43.691877635961;-43.049314874058;
62;0;-43.049314874058;-42.406752112155;
63;3;-42.406752112155;-41.764189350252;
64;4;-41.764189350252;-41.121626588349;
65;10;-41.121626588349;-40.479063826447;
66;29;-40.479063826447;-39.836501064544;
67;59;-39.836501064544;-39.193938302641;
68;63;-39.193938302641;-38.551375540738;
69;68;-38.551375540738;-37.908812778835;
70;49;-37.908812778835;-37.266250016933;
71;69;-37.266250016933;-36.623687255030;
72;59;-36.623687255030;-35.981124493127;
73;61;-35.981124493127;-35.338561731224;
74;62;-35.338561731224;-34.695998969321;
75;66;-34.695998969321;-34.053436207418;
76;56;-34.053436207418;-33.410873445516;
77;59;-33.410873445516;-32.768310683613;
78;40;-32.768310683613;-32.125747921710;
79;46;-32.125747921710;-31.483185159807;
80;39;-31.483185159807;-30.840622397904;
81;43;-30.840622397904;-30.198059636002;
82;52;-30.198059636002;-29.555496874099;
83;45;-29.555496874099;-28.912934112196;
84;33;-28.912934112196;-28.270371350293;
85;32;-28.270371350293;-27.627808588390;
86;32;-27.627808588390;-26.985245826488;
87;33;-26.985245826488;-26.342683064585;
88;36;-26.342683064585;-25.700120302682;
89;32;-25.700120302682;-25.057557540779;
90;17;-25.057557540779;-24.414994778876;
91;24;-24.414994778876;-23.772432016974;
92;8;-23.772432016974;-23.129869255071;
93;22;-23.129869255071;-22.487306493168;
94;16;-22.487306493168;-21.844743731265;
95;20;-21.844743731265;-21.202180969362;
96;18;-21.202180969362;-20.559618207459;
97;16;-20.559618207459;-19.917055445557;
98;17;-19.917055445557;-19.274492683654;
99;15;-19.274492683654;-18.631929921751;
100;19;-18.631929921751;-17.989367159848;
101;18;-17.989367159848;-17.346804397945;
102;11;-17.346804397945;-16.704241636043;
103;23;-16.704241636043;-16.061678874140;
104;6;-16.061678874140;-15.419116112237;
105;15;-15.419116112237;-14.776553350334;
106;8;-14.776553350334;-14.133990588431;
107;28;-14.133990588431;-13.491427826529;
108;75;-13.491427826529;-12.848865064626;
109;119;-12.848865064626;-12.206302302723;
110;215;-12.206302302723;-11.563739540820;
111;337;-11.563739540820;-10.921176778917;
112;384;-10.921176778917;-10.278614017015;
113;355;-10.278614017015;-9.636051255112;
114;472;-9.636051255112;-8.993488493209;
115;602;-8.993488493209;-8.350925731306;
116;610;-8.350925731306;-7.708362969403;
117;831;-7.708362969403;-7.065800207500;
118;941;-7.065800207500;-6.423237445598;
119;989;-6.423237445598;-5.780674683695;
120;6008;-5.780674683695;-5.138111921792;
121;14134;-5.138111921792;-4.495549159889;
122;19900;-4.495549159889;-3.852986397986;
123;25010;-3.852986397986;-3.210423636084;
124;28806;-3.210423636084;-2.567860874181;
125;32620;-2.567860874181;-1.925298112278;
126;36127;-1.925298112278;-1.282735350375;
127;38469;-1.282735350375;-0.640172588472;
128;40946;-0.640172588472;0.002390173430;
129;42373;0.002390173430;0.644952935333;
130;42405;0.644952935333;1.287515697236;
131;41671;1.287515697236;1.930078459139;
132;40015;1.930078459139;2.572641221042;
133;36641;2.572641221042;3.215203982944;
134;33282;3.215203982944;3.857766744847;
135;30747;3.857766744847;4.500329506750;
136;28344;4.500329506750;5.142892268653;
137;26407;5.142892268653;5.785455030556;
138;24061;5.785455030556;6.428017792459;
139;21649;6.428017792459;7.070580554361;
140;18891;7.070580554361;7.713143316264;
141;16042;7.713143316264;8.355706078167;
142;13901;8.355706078167;8.998268840070;
143;12297;8.998268840070;9.640831601973;
144;10655;9.640831601973;10.283394363875;
145;9436;10.283394363875;10.925957125778;
146;8222;10.925957125778;11.568519887681;
147;6665;11.568519887681;12.211082649584;
148;5735;12.211082649584;12.853645411487;
149;4866;12.853645411487;13.496208173389;
150;4201;13.496208173389;14.138770935292;
151;3588;14.138770935292;14.781333697195;
152;2932;14.781333697195;15.423896459098;
153;2391;15.423896459098;16.066459221001;
154;1945;16.066459221001;16.709021982903;
155;1581;16.709021982903;17.351584744806;
156;1200;17.351584744806;17.994147506709;
157;1031;17.994147506709;18.636710268612;
158;823;18.636710268612;19.279273030515;
159;636;19.279273030515;19.921835792418;
160;484;19.921835792418;20.564398554320;
161;373;20.564398554320;21.206961316223;
162;343;21.206961316223;21.849524078126;
163;233;21.849524078126;22.492086840029;
164;224;22.492086840029;23.134649601932;
165;205;23.134649601932;23.777212363834;
166;180;23.777212363834;24.419775125737;
167;186;24.419775125737;25.062337887640;
168;173;25.062337887640;25.704900649543;
169;153;25.704900649543;26.347463411446;
170;124;26.347463411446;26.990026173348;
171;133;26.990026173348;27.632588935251;
172;125;27.632588935251;28.275151697154;
173;123;28.275151697154;28.917714459057;
174;81;28.917714459057;29.560277220960;
175;78;29.560277220960;30.202839982862;
176;64;30.202839982862;30.845402744765;
177;48;30.845402744765;31.487965506668;
178;52;31.487965506668;32.130528268571;
179;48;32.130528268571;32.773091030474;
180;45;32.773091030474;33.415653792377;
181;49;33.415653792377;34.058216554279;
182;42;34.058216554279;34.700779316182;
183;51;34.700779316182;35.343342078085;
184;49;35.343342078085;35.985904839988;
185;57;35.985904839988;36.628467601891;
186;64;36.628467601891;37.271030363793;
187;50;37.271030363793;37.913593125696;
188;42;37.913593125696;38.556155887599;
189;49;38.556155887599;39.198718649502;
190;59;39.198718649502;39.841281411405;
191;36;39.841281411405;40.483844173307;
192;11;40.483844173307;41.126406935210;
193;0;41.126406935210;41.768969697113;
194;0;41.768969697113;42.411532459016;
195;0;42.411532459016;43.054095220919;
196;0;43.054095220919;43.696657982821;
197;0;43.696657982821;44.339220744724;
198;0;44.339220744724;44.981783506627;
199;0;44.981783506627;45.624346268530;
200;0;45.624346268530;46.266909030433;
201;0;46.266909030433;46.909471792335;
202;0;46.909471792335;47.552034554238;
203;0;47.552034554238;48.194597316141;
204;0;48.194597316141;48.837160078044;
205;0;48.837160078044;49.479722839947;
206;0;49.479722839947;50.122285601850;
207;0;50.122285601850;50.764848363752;
208;0;50.764848363752;51.407411125655;
209;0;51.407411125655;52.049973887558;
