Class; Value; Class start; Class end;
1;1;-18.745899508765;-18.558672844490;
2;1;-18.558672844490;-18.371446180215;
3;2;-18.371446180215;-18.184219515940;
4;3;-18.184219515940;-17.996992851666;
5;3;-17.996992851666;-17.809766187391;
6;7;-17.809766187391;-17.622539523116;
7;2;-17.622539523116;-17.435312858841;
8;1;-17.435312858841;-17.248086194566;
9;4;-17.248086194566;-17.060859530291;
10;10;-17.060859530291;-16.873632866016;
11;1;-16.873632866016;-16.686406201741;
12;5;-16.686406201741;-16.499179537466;
13;12;-16.499179537466;-16.311952873191;
14;15;-16.311952873191;-16.124726208916;
15;28;-16.124726208916;-15.937499544641;
16;26;-15.937499544641;-15.750272880366;
17;40;-15.750272880366;-15.563046216091;
18;42;-15.563046216091;-15.375819551816;
19;39;-15.375819551816;-15.188592887542;
20;48;-15.188592887542;-15.001366223267;
21;33;-15.001366223267;-14.814139558992;
22;45;-14.814139558992;-14.626912894717;
23;43;-14.626912894717;-14.439686230442;
24;91;-14.439686230442;-14.252459566167;
25;99;-14.252459566167;-14.065232901892;
26;81;-14.065232901892;-13.878006237617;
27;78;-13.878006237617;-13.690779573342;
28;79;-13.690779573342;-13.503552909067;
29;73;-13.503552909067;-13.316326244792;
30;94;-13.316326244792;-13.129099580517;
31;104;-13.129099580517;-12.941872916242;
32;115;-12.941872916242;-12.754646251967;
33;156;-12.754646251967;-12.567419587693;
34;181;-12.567419587693;-12.380192923418;
35;148;-12.380192923418;-12.192966259143;
36;145;-12.192966259143;-12.005739594868;
37;164;-12.005739594868;-11.818512930593;
38;171;-11.818512930593;-11.631286266318;
39;176;-11.631286266318;-11.444059602043;
40;185;-11.444059602043;-11.256832937768;
41;206;-11.256832937768;-11.069606273493;
42;240;-11.069606273493;-10.882379609218;
43;289;-10.882379609218;-10.695152944943;
44;278;-10.695152944943;-10.507926280668;
45;291;-10.507926280668;-10.320699616393;
46;270;-10.320699616393;-10.133472952118;
47;293;-10.133472952118;-9.946246287843;
48;294;-9.946246287843;-9.759019623569;
49;369;-9.759019623569;-9.571792959294;
50;375;-9.571792959294;-9.384566295019;
51;373;-9.384566295019;-9.197339630744;
52;409;-9.197339630744;-9.010112966469;
53;427;-9.010112966469;-8.822886302194;
54;438;-8.822886302194;-8.635659637919;
55;501;-8.635659637919;-8.448432973644;
56;494;-8.448432973644;-8.261206309369;
57;602;-8.261206309369;-8.073979645094;
58;611;-8.073979645094;-7.886752980819;
59;648;-7.886752980819;-7.699526316544;
60;655;-7.699526316544;-7.512299652269;
61;702;-7.512299652269;-7.325072987994;
62;688;-7.325072987994;-7.137846323720;
63;633;-7.137846323720;-6.950619659445;
64;667;-6.950619659445;-6.763392995170;
65;757;-6.763392995170;-6.576166330895;
66;752;-6.576166330895;-6.388939666620;
67;834;-6.388939666620;-6.201713002345;
68;831;-6.201713002345;-6.014486338070;
69;823;-6.014486338070;-5.827259673795;
70;930;-5.827259673795;-5.640033009520;
71;950;-5.640033009520;-5.452806345245;
72;999;-5.452806345245;-5.265579680970;
73;1070;-5.265579680970;-5.078353016695;
74;1245;-5.078353016695;-4.891126352420;
75;1391;-4.891126352420;-4.703899688145;
76;1646;-4.703899688145;-4.516673023870;
77;1828;-4.516673023870;-4.329446359596;
78;2322;-4.329446359596;-4.142219695321;
79;2869;-4.142219695321;-3.954993031046;
80;3333;-3.954993031046;-3.767766366771;
81;3811;-3.767766366771;-3.580539702496;
82;4154;-3.580539702496;-3.393313038221;
83;4720;-3.393313038221;-3.206086373946;
84;5118;-3.206086373946;-3.018859709671;
85;5702;-3.018859709671;-2.831633045396;
86;6057;-2.831633045396;-2.644406381121;
87;6355;-2.644406381121;-2.457179716846;
88;6951;-2.457179716846;-2.269953052571;
89;7406;-2.269953052571;-2.082726388296;
90;7780;-2.082726388296;-1.895499724021;
91;8189;-1.895499724021;-1.708273059747;
92;8664;-1.708273059747;-1.521046395472;
93;8922;-1.521046395472;-1.333819731197;
94;9249;-1.333819731197;-1.146593066922;
95;9594;-1.146593066922;-0.959366402647;
96;9963;-0.959366402647;-0.772139738372;
97;10300;-0.772139738372;-0.584913074097;
98;10598;-0.584913074097;-0.397686409822;
99;11034;-0.397686409822;-0.210459745547;
100;11625;-0.210459745547;-0.023233081272;
101;11454;-0.023233081272;0.163993583003;
102;11520;0.163993583003;0.351220247278;
103;12214;0.351220247278;0.538446911553;
104;12150;0.538446911553;0.725673575828;
105;12300;0.725673575828;0.912900240102;
106;12777;0.912900240102;1.100126904377;
107;12804;1.100126904377;1.287353568652;
108;13260;1.287353568652;1.474580232927;
109;13260;1.474580232927;1.661806897202;
110;13584;1.661806897202;1.849033561477;
111;13319;1.849033561477;2.036260225752;
112;13662;2.036260225752;2.223486890027;
113;13579;2.223486890027;2.410713554302;
114;13510;2.410713554302;2.597940218577;
115;13593;2.597940218577;2.785166882852;
116;14035;2.785166882852;2.972393547127;
117;13729;2.972393547127;3.159620211402;
118;13887;3.159620211402;3.346846875677;
119;13595;3.346846875677;3.534073539952;
120;13672;3.534073539952;3.721300204226;
121;13652;3.721300204226;3.908526868501;
122;13699;3.908526868501;4.095753532776;
123;13281;4.095753532776;4.282980197051;
124;13015;4.282980197051;4.470206861326;
125;12836;4.470206861326;4.657433525601;
126;12695;4.657433525601;4.844660189876;
127;12874;4.844660189876;5.031886854151;
128;12960;5.031886854151;5.219113518426;
129;12568;5.219113518426;5.406340182701;
130;12384;5.406340182701;5.593566846976;
131;12284;5.593566846976;5.780793511251;
132;11534;5.780793511251;5.968020175526;
133;11586;5.968020175526;6.155246839801;
134;11185;6.155246839801;6.342473504075;
135;11176;6.342473504075;6.529700168350;
136;10779;6.529700168350;6.716926832625;
137;10301;6.716926832625;6.904153496900;
138;9823;6.904153496900;7.091380161175;
139;9829;7.091380161175;7.278606825450;
140;9335;7.278606825450;7.465833489725;
141;8942;7.465833489725;7.653060154000;
142;8295;7.653060154000;7.840286818275;
143;7770;7.840286818275;8.027513482550;
