Class; Value; Class start; Class end;
1;4;-16.442745983941;-16.200060196561;
2;4;-16.200060196561;-15.957374409181;
3;3;-15.957374409181;-15.714688621802;
4;10;-15.714688621802;-15.472002834422;
5;0;-15.472002834422;-15.229317047042;
6;4;-15.229317047042;-14.986631259662;
7;5;-14.986631259662;-14.743945472283;
8;2;-14.743945472283;-14.501259684903;
9;13;-14.501259684903;-14.258573897523;
10;0;-14.258573897523;-14.015888110143;
11;7;-14.015888110143;-13.773202322764;
12;3;-13.773202322764;-13.530516535384;
13;2;-13.530516535384;-13.287830748004;
14;9;-13.287830748004;-13.045144960624;
15;8;-13.045144960624;-12.802459173245;
16;14;-12.802459173245;-12.559773385865;
17;16;-12.559773385865;-12.317087598485;
18;8;-12.317087598485;-12.074401811106;
19;25;-12.074401811106;-11.831716023726;
20;25;-11.831716023726;-11.589030236346;
21;31;-11.589030236346;-11.346344448966;
22;43;-11.346344448966;-11.103658661587;
23;59;-11.103658661587;-10.860972874207;
24;30;-10.860972874207;-10.618287086827;
25;44;-10.618287086827;-10.375601299447;
26;31;-10.375601299447;-10.132915512068;
27;43;-10.132915512068;-9.890229724688;
28;72;-9.890229724688;-9.647543937308;
29;68;-9.647543937308;-9.404858149928;
30;72;-9.404858149928;-9.162172362549;
31;54;-9.162172362549;-8.919486575169;
32;58;-8.919486575169;-8.676800787789;
33;89;-8.676800787789;-8.434115000409;
34;89;-8.434115000409;-8.191429213030;
35;78;-8.191429213030;-7.948743425650;
36;66;-7.948743425650;-7.706057638270;
37;78;-7.706057638270;-7.463371850890;
38;83;-7.463371850890;-7.220686063511;
39;83;-7.220686063511;-6.978000276131;
40;88;-6.978000276131;-6.735314488751;
41;88;-6.735314488751;-6.492628701371;
42;115;-6.492628701371;-6.249942913992;
43;106;-6.249942913992;-6.007257126612;
44;146;-6.007257126612;-5.764571339232;
45;102;-5.764571339232;-5.521885551852;
46;107;-5.521885551852;-5.279199764473;
47;155;-5.279199764473;-5.036513977093;
48;152;-5.036513977093;-4.793828189713;
49;173;-4.793828189713;-4.551142402334;
50;181;-4.551142402334;-4.308456614954;
51;168;-4.308456614954;-4.065770827574;
52;535;-4.065770827574;-3.823085040194;
53;1844;-3.823085040194;-3.580399252815;
54;3283;-3.580399252815;-3.337713465435;
55;4980;-3.337713465435;-3.095027678055;
56;6940;-3.095027678055;-2.852341890675;
57;10204;-2.852341890675;-2.609656103296;
58;16483;-2.609656103296;-2.366970315916;
59;23424;-2.366970315916;-2.124284528536;
60;26652;-2.124284528536;-1.881598741156;
61;27214;-1.881598741156;-1.638912953777;
62;26867;-1.638912953777;-1.396227166397;
63;27060;-1.396227166397;-1.153541379017;
64;26735;-1.153541379017;-0.910855591637;
65;26600;-0.910855591637;-0.668169804258;
66;26903;-0.668169804258;-0.425484016878;
67;26792;-0.425484016878;-0.182798229498;
68;26708;-0.182798229498;0.059887557882;
69;26242;0.059887557882;0.302573345261;
70;26115;0.302573345261;0.545259132641;
71;25757;0.545259132641;0.787944920021;
72;25612;0.787944920021;1.030630707401;
73;25248;1.030630707401;1.273316494780;
74;24734;1.273316494780;1.516002282160;
75;24670;1.516002282160;1.758688069540;
76;24329;1.758688069540;2.001373856919;
77;24168;2.001373856919;2.244059644299;
78;23676;2.244059644299;2.486745431679;
79;23110;2.486745431679;2.729431219059;
80;22813;2.729431219059;2.972117006438;
81;22725;2.972117006438;3.214802793818;
82;22353;3.214802793818;3.457488581198;
83;22051;3.457488581198;3.700174368578;
84;21636;3.700174368578;3.942860155957;
85;21259;3.942860155957;4.185545943337;
86;21153;4.185545943337;4.428231730717;
87;20687;4.428231730717;4.670917518097;
88;20734;4.670917518097;4.913603305476;
89;19975;4.913603305476;5.156289092856;
90;19662;5.156289092856;5.398974880236;
91;19547;5.398974880236;5.641660667616;
92;19306;5.641660667616;5.884346454995;
93;18517;5.884346454995;6.127032242375;
94;18683;6.127032242375;6.369718029755;
95;17668;6.369718029755;6.612403817135;
96;17546;6.612403817135;6.855089604514;
97;17198;6.855089604514;7.097775391894;
98;16678;7.097775391894;7.340461179274;
99;16366;7.340461179274;7.583146966654;
100;15792;7.583146966654;7.825832754033;
101;15260;7.825832754033;8.068518541413;
102;14718;8.068518541413;8.311204328793;
103;14284;8.311204328793;8.553890116173;
104;14058;8.553890116173;8.796575903552;
105;13480;8.796575903552;9.039261690932;
106;13082;9.039261690932;9.281947478312;
107;12680;9.281947478312;9.524633265691;
108;12367;9.524633265691;9.767319053071;
109;11719;9.767319053071;10.010004840451;
110;11439;10.010004840451;10.252690627831;
111;11024;10.252690627831;10.495376415210;
112;10479;10.495376415210;10.738062202590;
113;9906;10.738062202590;10.980747989970;
114;9494;10.980747989970;11.223433777350;
115;9101;11.223433777350;11.466119564729;
116;8756;11.466119564729;11.708805352109;
117;8319;11.708805352109;11.951491139489;
118;7902;11.951491139489;12.194176926869;
119;7462;12.194176926869;12.436862714248;
120;6932;12.436862714248;12.679548501628;
121;6638;12.679548501628;12.922234289008;
122;6265;12.922234289008;13.164920076388;
123;6010;13.164920076388;13.407605863767;
124;5657;13.407605863767;13.650291651147;
125;5286;13.650291651147;13.892977438527;
126;5025;13.892977438527;14.135663225907;
127;4800;14.135663225907;14.378349013286;
128;4474;14.378349013286;14.621034800666;
129;4254;14.621034800666;14.863720588046;
130;4033;14.863720588046;15.106406375426;
131;3813;15.106406375426;15.349092162805;
132;3575;15.349092162805;15.591777950185;
133;3138;15.591777950185;15.834463737565;
134;2917;15.834463737565;16.077149524945;
135;2548;16.077149524945;16.319835312324;
136;2507;16.319835312324;16.562521099704;
137;2184;16.562521099704;16.805206887084;
138;1975;16.805206887084;17.047892674463;
139;1776;17.047892674463;17.290578461843;
140;1644;17.290578461843;17.533264249223;
141;1529;17.533264249223;17.775950036603;
142;1231;17.775950036603;18.018635823982;
143;1149;18.018635823982;18.261321611362;
144;1123;18.261321611362;18.504007398742;
145;967;18.504007398742;18.746693186122;
146;830;18.746693186122;18.989378973501;
147;756;18.989378973501;19.232064760881;
148;641;19.232064760881;19.474750548261;
149;563;19.474750548261;19.717436335641;
150;522;19.717436335641;19.960122123020;
151;449;19.960122123020;20.202807910400;
152;382;20.202807910400;20.445493697780;
153;322;20.445493697780;20.688179485160;
154;232;20.688179485160;20.930865272539;
155;207;20.930865272539;21.173551059919;
156;161;21.173551059919;21.416236847299;
157;119;21.416236847299;21.658922634679;
158;94;21.658922634679;21.901608422058;
159;51;21.901608422058;22.144294209438;
160;39;22.144294209438;22.386979996818;
161;20;22.386979996818;22.629665784198;
162;21;22.629665784198;22.872351571577;
163;16;22.872351571577;23.115037358957;
164;6;23.115037358957;23.357723146337;
165;10;23.357723146337;23.600408933717;
166;4;23.600408933717;23.843094721096;
167;3;23.843094721096;24.085780508476;
168;9;24.085780508476;24.328466295856;
169;5;24.328466295856;24.571152083235;
170;3;24.571152083235;24.813837870615;
171;0;24.813837870615;25.056523657995;
172;1;25.056523657995;25.299209445375;
173;0;25.299209445375;25.541895232754;
174;0;25.541895232754;25.784581020134;
175;0;25.784581020134;26.027266807514;
176;0;26.027266807514;26.269952594894;
177;0;26.269952594894;26.512638382273;
178;0;26.512638382273;26.755324169653;
179;0;26.755324169653;26.998009957033;
180;0;26.998009957033;27.240695744413;
181;0;27.240695744413;27.483381531792;
182;0;27.483381531792;27.726067319172;
183;0;27.726067319172;27.968753106552;
184;0;27.968753106552;28.211438893932;
185;0;28.211438893932;28.454124681311;
186;0;28.454124681311;28.696810468691;
187;0;28.696810468691;28.939496256071;
188;0;28.939496256071;29.182182043451;
189;0;29.182182043451;29.424867830830;
190;0;29.424867830830;29.667553618210;
191;0;29.667553618210;29.910239405590;
192;0;29.910239405590;30.152925192970;
193;0;30.152925192970;30.395610980349;
194;0;30.395610980349;30.638296767729;
195;0;30.638296767729;30.880982555109;
196;0;30.880982555109;31.123668342489;
197;0;31.123668342489;31.366354129868;
198;0;31.366354129868;31.609039917248;
199;0;31.609039917248;31.851725704628;
200;0;31.851725704628;32.094411492007;
201;0;32.094411492007;32.337097279387;
202;0;32.337097279387;32.579783066767;
203;0;32.579783066767;32.822468854147;
204;0;32.822468854147;33.065154641526;
205;0;33.065154641526;33.307840428906;
206;0;33.307840428906;33.550526216286;
207;0;33.550526216286;33.793212003666;
208;0;33.793212003666;34.035897791045;
209;0;34.035897791045;34.278583578425;
210;0;34.278583578425;34.521269365805;
211;0;34.521269365805;34.763955153185;
212;0;34.763955153185;35.006640940564;
213;0;35.006640940564;35.249326727944;
214;0;35.249326727944;35.492012515324;
215;0;35.492012515324;35.734698302704;
216;0;35.734698302704;35.977384090083;
217;0;35.977384090083;36.220069877463;
218;0;36.220069877463;36.462755664843;
219;0;36.462755664843;36.705441452223;
220;0;36.705441452223;36.948127239602;
221;0;36.948127239602;37.190813026982;
222;0;37.190813026982;37.433498814362;
223;0;37.433498814362;37.676184601742;
224;0;37.676184601742;37.918870389121;
225;0;37.918870389121;38.161556176501;
226;0;38.161556176501;38.404241963881;
227;0;38.404241963881;38.646927751260;
228;0;38.646927751260;38.889613538640;
229;0;38.889613538640;39.132299326020;
230;0;39.132299326020;39.374985113400;
231;0;39.374985113400;39.617670900779;
232;0;39.617670900779;39.860356688159;
233;0;39.860356688159;40.103042475539;
234;0;40.103042475539;40.345728262919;
235;0;40.345728262919;40.588414050298;
236;0;40.588414050298;40.831099837678;
237;0;40.831099837678;41.073785625058;
238;0;41.073785625058;41.316471412438;
239;0;41.316471412438;41.559157199817;
240;0;41.559157199817;41.801842987197;
241;0;41.801842987197;42.044528774577;
242;0;42.044528774577;42.287214561957;
243;0;42.287214561957;42.529900349336;
244;0;42.529900349336;42.772586136716;
245;0;42.772586136716;43.015271924096;
246;0;43.015271924096;43.257957711476;
247;0;43.257957711476;43.500643498855;
248;0;43.500643498855;43.743329286235;
249;0;43.743329286235;43.986015073615;
250;0;43.986015073615;44.228700860995;
251;4;44.228700860995;44.471386648374;
252;0;44.471386648374;44.714072435754;
253;0;44.714072435754;44.956758223134;
254;0;44.956758223134;45.199444010514;
255;0;45.199444010514;45.442129797893;
256;3;45.442129797893;45.684815585273;
